PhraseId,Sentiment
156061,3
156062,3
156063,2
156064,3
156065,3
156066,3
156067,3
156068,3
156069,3
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,3
156077,2
156078,3
156079,3
156080,1
156081,2
156082,1
156083,3
156084,1
156085,2
156086,1
156087,2
156088,1
156089,3
156090,2
156091,3
156092,3
156093,3
156094,2
156095,2
156096,2
156097,3
156098,1
156099,2
156100,1
156101,2
156102,1
156103,1
156104,1
156105,1
156106,2
156107,2
156108,2
156109,2
156110,2
156111,3
156112,2
156113,3
156114,3
156115,3
156116,3
156117,3
156118,3
156119,2
156120,3
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,2
156129,2
156130,2
156131,2
156132,2
156133,3
156134,2
156135,3
156136,2
156137,2
156138,2
156139,2
156140,2
156141,2
156142,2
156143,2
156144,2
156145,2
156146,2
156147,3
156148,3
156149,3
156150,3
156151,2
156152,2
156153,2
156154,2
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,2
156167,2
156168,2
156169,2
156170,2
156171,4
156172,4
156173,2
156174,4
156175,4
156176,2
156177,4
156178,2
156179,2
156180,2
156181,2
156182,2
156183,2
156184,2
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,1
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,2
156216,2
156217,2
156218,2
156219,4
156220,2
156221,4
156222,4
156223,2
156224,2
156225,2
156226,2
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,4
156237,3
156238,4
156239,2
156240,4
156241,4
156242,4
156243,2
156244,2
156245,2
156246,2
156247,2
156248,2
156249,2
156250,3
156251,3
156252,3
156253,3
156254,3
156255,3
156256,3
156257,3
156258,3
156259,3
156260,2
156261,2
156262,2
156263,3
156264,3
156265,2
156266,3
156267,2
156268,3
156269,2
156270,2
156271,2
156272,1
156273,2
156274,1
156275,1
156276,1
156277,1
156278,2
156279,2
156280,2
156281,2
156282,2
156283,2
156284,2
156285,2
156286,1
156287,1
156288,1
