Id,SalePrice
1461,125000
1462,157900
1463,175000
1464,175000
1465,185000
1466,175000
1467,175000
1468,175000
1469,210000
1470,125000
1471,185000
1472,118000
1473,88000
1474,148500
1475,72500
1476,287090
1477,287090
1478,313000
1479,287090
1480,466500
1481,266500
1482,202500
1483,185000
1484,160200
1485,185000
1486,183500
1487,340000
1488,287090
1489,208300
1490,185000
1491,195000
1492,72500
1493,210000
1494,290000
1495,240000
1496,185000
1497,130000
1498,151000
1499,151000
1500,130000
1501,168500
1502,148800
1503,394432
1504,235000
1505,185000
1506,190000
1507,210000
1508,175000
1509,175000
1510,147500
1511,147500
1512,175000
1513,140000
1514,125000
1515,175000
1516,143000
1517,160000
1518,124000
1519,185000
1520,147500
1521,142000
1522,143000
1523,72500
1524,142125
1525,72500
1526,72500
1527,145000
1528,72500
1529,147500
1530,147500
1531,135000
1532,72500
1533,142125
1534,72500
1535,140000
1536,144000
1537,60000
1538,266500
1539,185000
1540,160000
1541,112000
1542,127000
1543,140000
1544,68500
1545,72500
1546,131000
1547,119000
1548,72500
1549,72500
1550,127000
1551,72500
1552,144000
1553,127000
1554,135000
1555,210000
1556,60000
1557,125000
1558,72500
1559,122000
1560,160000
1561,136500
1562,130000
1563,72500
1564,171000
1565,175000
1566,260000
1567,72500
1568,175000
1569,140000
1570,142125
1571,140000
1572,147500
1573,324000
1574,60000
1575,260000
1576,175000
1577,185000
1578,140000
1579,145000
1580,175000
1581,142125
1582,120500
1583,287090
1584,250000
1585,140000
1586,72500
1587,112000
1588,147500
1589,72500
1590,171000
1591,72500
1592,72500
1593,72500
1594,200000
1595,113000
1596,143000
1597,145000
1598,175000
1599,147000
1600,189000
1601,60000
1602,112000
1603,72500
1604,275000
1605,210000
1606,210000
1607,171000
1608,185000
1609,224000
1610,167500
1611,140000
1612,175000
1613,175000
1614,72500
1615,75500
1616,88000
1617,88000
1618,130000
1619,142125
1620,200000
1621,112000
1622,140000
1623,275000
1624,175000
1625,72500
1626,175000
1627,175000
1628,310000
1629,168500
1630,385000
1631,175000
1632,185000
1633,180000
1634,175000
1635,175000
1636,176000
1637,210000
1638,190000
1639,175000
1640,250000
1641,175000
1642,175000
1643,175000
1644,175000
1645,175000
1646,210000
1647,210000
1648,140000
1649,72500
1650,120500
1651,120500
1652,83000
1653,94500
1654,155000
1655,127500
1656,148500
1657,148500
1658,148500
1659,171000
1660,175000
1661,313000
1662,263435
1663,394617
1664,466500
1665,287090
1666,315000
1667,310000
1668,287090
1669,310000
1670,287090
1671,185000
1672,501837
1673,285000
1674,287090
1675,194700
1676,196000
1677,185000
1678,611657
1679,315000
1680,318061
1681,185000
1682,315000
1683,171750
1684,174000
1685,174000
1686,160200
1687,185000
1688,175000
1689,175000
1690,185000
1691,185000
1692,266500
1693,185000
1694,175000
1695,180000
1696,214000
1697,180000
1698,325000
1699,213250
1700,240000
1701,271000
1702,287090
1703,287090
1704,287090
1705,185000
1706,385000
1707,250580
1708,185000
1709,287090
1710,287090
1711,130000
1712,287090
1713,185000
1714,185000
1715,185000
1716,185000
1717,185000
1718,84500
1719,200000
1720,185000
1721,155000
1722,84500
1723,155000
1724,287090
1725,266500
1726,185000
1727,179200
1728,185000
1729,175000
1730,112000
1731,142125
1732,72500
1733,72500
1734,72500
1735,136500
1736,115000
1737,385000
1738,175000
1739,130000
1740,287090
1741,185000
1742,168500
1743,183900
1744,210000
1745,185000
1746,260000
1747,175000
1748,250000
1749,175000
1750,147500
1751,201800
1752,130000
1753,140000
1754,175000
1755,175000
1756,180500
1757,72500
1758,175000
1759,160000
1760,175000
1761,170000
1762,175000
1763,175000
1764,147500
1765,167000
1766,175000
1767,210000
1768,135000
1769,140000
1770,147500
1771,147500
1772,147500
1773,124000
1774,136905
1775,157900
1776,72500
1777,72500
1778,72500
1779,72500
1780,175000
1781,147500
1782,72500
1783,112000
1784,112000
1785,72500
1786,140000
1787,140000
1788,60000
1789,72500
1790,72500
1791,200000
1792,155000
1793,147500
1794,185000
1795,157900
1796,160000
1797,72500
1798,72500
1799,72500
1800,140000
1801,72500
1802,140000
1803,140000
1804,135000
1805,147500
1806,125000
1807,122500
1808,112000
1809,72500
1810,140000
1811,55000
1812,85000
1813,125500
1814,72500
1815,72500
1816,72500
1817,112000
1818,72500
1819,72500
1820,72500
1821,115000
1822,116000
1823,72500
1824,121000
1825,140000
1826,105000
1827,72500
1828,127000
1829,105000
1830,137000
1831,161000
1832,136000
1833,103600
1834,128000
1835,135900
1836,140000
1837,72500
1838,130000
1839,72500
1840,179000
1841,179000
1842,105000
1843,147500
1844,145000
1845,140000
1846,140000
1847,144000
1848,72500
1849,139600
1850,128900
1851,140000
1852,147500
1853,130000
1854,147000
1855,148000
1856,175000
1857,107500
1858,142953
1859,118858
1860,153337
1861,118858
1862,200000
1863,200000
1864,200000
1865,394432
1866,297000
1867,287090
1868,210000
1869,185000
1870,185000
1871,287090
1872,174000
1873,210000
1874,138000
1875,175000
1876,175000
1877,185000
1878,185000
1879,72500
1880,137000
1881,185000
1882,266500
1883,175000
1884,230000
1885,185000
1886,185000
1887,210000
1888,287090
1889,156932
1890,147500
1891,145000
1892,110000
1893,125000
1894,141000
1895,157900
1896,72500
1897,72500
1898,72500
1899,140000
1900,72500
1901,175000
1902,147500
1903,145000
1904,142125
1905,190000
1906,140000
1907,143000
1908,124000
1909,124000
1910,124000
1911,175000
1912,210000
1913,130000
1914,68500
1915,392500
1916,60000
1917,266500
1918,171000
1919,175000
1920,175000
1921,385000
1922,287090
1923,175000
1924,175000
1925,185000
1926,385000
1927,157900
1928,175000
1929,145000
1930,145000
1931,144000
1932,112000
1933,144000
1934,175000
1935,175000
1936,175000
1937,175000
1938,185000
1939,328900
1940,185000
1941,175000
1942,175000
1943,180000
1944,325000
1945,377500
1946,140000
1947,385000
1948,185000
1949,185000
1950,185000
1951,210000
1952,210000
1953,175000
1954,210000
1955,72500
1956,250000
1957,175000
1958,266500
1959,136000
1960,110000
1961,147000
1962,83000
1963,83000
1964,119500
1965,146000
1966,127500
1967,318000
1968,555000
1969,394617
1970,315000
1971,385000
1972,310000
1973,310000
1974,354000
1975,611657
1976,287090
1977,315000
1978,287090
1979,287090
1980,202500
1981,367294
1982,254000
1983,185000
1984,175500
1985,246578
1986,175900
1987,185000
1988,180000
1989,183500
1990,215000
1991,185000
1992,175000
1993,162000
1994,175000
1995,175000
1996,250000
1997,175000
1998,385000
1999,266500
2000,290000
2001,290000
2002,210000
2003,287090
2004,310000
2005,185000
2006,250580
2007,287090
2008,185000
2009,185000
2010,195000
2011,84500
2012,185000
2013,175000
2014,201000
2015,185000
2016,216000
2017,175000
2018,142125
2019,72500
2020,125000
2021,72500
2022,175000
2023,175000
2024,260000
2025,285000
2026,185000
2027,151000
2028,146000
2029,179400
2030,278000
2031,149300
2032,185000
2033,278000
2034,160000
2035,175000
2036,172500
2037,172500
2038,175000
2039,270000
2040,190000
2041,242000
2042,175000
2043,175000
2044,197900
2045,210000
2046,136905
2047,125000
2048,129000
2049,142600
2050,175000
2051,72500
2052,140000
2053,142125
2054,68500
2055,175000
2056,142125
2057,72500
2058,175000
2059,139000
2060,175000
2061,175000
2062,147500
2063,72500
2064,145000
2065,147500
2066,175000
2067,115000
2068,136905
2069,72500
2070,72500
2071,72500
2072,105000
2073,72500
2074,266500
2075,147500
2076,72500
2077,147500
2078,147500
2079,175000
2080,72500
2081,72500
2082,141000
2083,140000
2084,72500
2085,109500
2086,130000
2087,72500
2088,72500
2089,80000
2090,135000
2091,160000
2092,160000
2093,105000
2094,72500
2095,140000
2096,72500
2097,110500
2098,72500
2099,60000
2100,61000
2101,160000
2102,72500
2103,72500
2104,90000
2105,127000
2106,60000
2107,325000
2108,142125
2109,72500
2110,147500
2111,140000
2112,72500
2113,125500
2114,112000
2115,140000
2116,72500
2117,140000
2118,140000
2119,119000
2120,105000
2121,72500
2122,120000
2123,72500
2124,210000
2125,190000
2126,175000
2127,160000
2128,135000
2129,55993
2130,72500
2131,210000
2132,112000
2133,72500
2134,105000
2135,72500
2136,55000
2137,84500
2138,72500
2139,171000
2140,130000
2141,145000
2142,147500
2143,142125
2144,125000
2145,130000
2146,230000
2147,160000
2148,72500
2149,120500
2150,210000
2151,116900
2152,72500
2153,147500
2154,118500
2155,72500
2156,250000
2157,240000
2158,185000
2159,175000
2160,156932
2161,287090
2162,385000
2163,385000
2164,185000
2165,210000
2166,145000
2167,175000
2168,175000
2169,185000
2170,230000
2171,175000
2172,120500
2173,175000
2174,175000
2175,266500
2176,275000
2177,250000
2178,175000
2179,136500
2180,206300
2181,185000
2182,287090
2183,185000
2184,147500
2185,145000
2186,148000
2187,171000
2188,149500
2189,160000
2190,82000
2191,82000
2192,84500
2193,79000
2194,72500
2195,72500
2196,112000
2197,72500
2198,140000
2199,145000
2200,103600
2201,175000
2202,266500
2203,140000
2204,140000
2205,72500
2206,171000
2207,140000
2208,210000
2209,190000
2210,124000
2211,72500
2212,72500
2213,72500
2214,147500
2215,72500
2216,147500
2217,82000
2218,72500
2219,72500
2220,68500
2221,392500
2222,275000
2223,240000
2224,210000
2225,126000
2226,175000
2227,175000
2228,185000
2229,185000
2230,167500
2231,210000
2232,175000
2233,175000
2234,185000
2235,185000
2236,260000
2237,315000
2238,206300
2239,84500
2240,162000
2241,147500
2242,129900
2243,127000
2244,91000
2245,91000
2246,135000
2247,119500
2248,130500
2249,72500
2250,120500
2251,135000
2252,175000
2253,175000
2254,175000
2255,175000
2256,185000
2257,175000
2258,173000
2259,175000
2260,215000
2261,185000
2262,197000
2263,354000
2264,385000
2265,160000
2266,185000
2267,423000
2268,337500
2269,175000
2270,175000
2271,210000
2272,190000
2273,175000
2274,175000
2275,175000
2276,175000
2277,210000
2278,140000
2279,130000
2280,112000
2281,175000
2282,175000
2283,83000
2284,113000
2285,127500
2286,127000
2287,394617
2288,287090
2289,465000
2290,385000
2291,281213
2292,315000
2293,385000
2294,266500
2295,385000
2296,303477
2297,339750
2298,287090
2299,310000
